,Street,City,State,Zip
1303,2416 GRANT CIR,Ames,IA,50010.0
1304,715 LYNN AVE,Ames,IA,50014.0
1305,1003 VERMONT CT,Ames,IA,50014.0
1306,2312 CLARK AVE,Ames,IA,50010.0
1307,3804 EISENHOWER AVE,Ames,IA,50010.0
1308,4812 WALLER ST,Ames,IA,50014.0
1309,1309 JEFFERSON ST,Ames,IA,50010.0
1310,1605 CRESTWOOD CIR,Ames,IA,50010.0
1311,3240 EVERGREEN RD,Ames,IA,50014.0
1312,407 JEFFREY LN 409,Ames,IA,50014.0
1313,327 STANTON AVE,Ames,IA,50012.0
1314,4019 STONE BROOKE RD,Ames,IA,50010.0
1315,527 BROWN CT,Ames,IA,50014.0
1316,3049 HARRISON RD,Ames,IA,50010.0
1317,2508 EATON AVE,Ames,IA,50010.0
1318,5312 NORRIS ST,Ames,IA,50014.0
1319,2507 TYLER AVE,Ames,IA,50010.0
1320,3120 SYCAMORE RD,Ames,IA,50014.0
1321,3031 BAYBERRY RD,Ames,IA,50014.0
1322,924 6TH ST,Ames,IA,50010.0
1323,403 BEEDLE DR,Ames,IA,50014.0
1324,3812 EISENHOWER AVE,Ames,IA,50010.0
1325,2402 SUNDOWN DR,Ames,IA,50014.0
1326,1325 MAXWELL AVE 1327,Ames,IA,50010.0
1327,1700 PIERCE CT,Ames,IA,50010.0
1328,2721 KELLOGG AVE,Ames,IA,50010.0
1329,3327 GOLDENROD CIR,Ames,IA,50014.0
1330,1106 HARDING AVE,Ames,IA,50010.0
1331,1516 GOLDEN ASPEN DR,Ames,IA,50010.0
1332,4309 CRESTMOOR AVE,Ames,IA,50010.0
1333,817 KELLOGG AVE,Ames,IA,50010.0
1334,543 FOREST GLEN,Ames,IA,50014.0
1335,4927 HEMINGWAY DR,Ames,IA,50014.0
1336,4730 HEMINGWAY DR,Ames,IA,50014.0
1337,702 HODGE AVE,Ames,IA,50010.0
1338,1450 TRUMAN PL,Ames,IA,50010.0
1339,822 POE AVE,Ames,IA,50014.0
1341,3409 POLARIS DR,Ames,IA,50010.0
1342,1212 13TH ST,Ames,IA,50010.0
1343,548 MEADOW CT,Ames,IA,50010.0
1345,1036 RIDGEWOOD AVE,Ames,IA,50010.0
1346,1124 JOHNSON ST,Ames,IA,50010.0
1347,1024 CURTISS AVE,Ames,IA,50010.0
1348,3814 BRICKMAN AVE,Ames,IA,50010.0
1349,1118 OKLAHOMA DR,Ames,IA,50014.0
1350,2907 ARROWWOOD CIR,Ames,IA,50014.0
1351,5113 SCHUBERT ST,Ames,IA,50014.0
1352,1405 INDIANA AVE,Ames,IA,50014.0
1353,5217 TABOR DR,Ames,IA,50014.0
1354,202 KEN MARIL RD,Ames,IA,50010.0
1355,2527 CLAYTON DR,Ames,IA,50010.0
1356,2119 FURMAN DR,Ames,IA,50010.0
1357,4901 SCHUBERT ST,Ames,IA,50014.0
1358,2615 CLAYTON DR,Ames,IA,50010.0
1359,5440 FROST DR,Ames,IA,50014.0
1360,2726 WHITE OAK DR,Ames,IA,50014.0
1361,2422 KINGSTON DR,Ames,IA,50010.0
1362,3630 STORY ST,Ames,IA,50014.0
1363,5418 FROST DR,Ames,IA,50014.0
1364,2810 NORTHWESTERN AVE,Ames,IA,50010.0
1365,1318 BARKLEY CT,Ames,IA,50010.0
1366,3837 WELBECK DR,Ames,IA,50010.0
1367,327 22ND ST,Ames,IA,50010.0
1368,2007 COUNTRY CLUB BLVD,Ames,IA,50014.0
1369,622 CRYSTAL ST,Ames,IA,50010.0
1370,1430 CARROLL AVE,Ames,IA,50010.0
1371,2507 WHITE OAK DR,Ames,IA,50014.0
1372,1608 TRUMAN DR,Ames,IA,50010.0
1373,3811 HOOVER AVE,Ames,IA,50010.0
1374,3107 RED FOX RD,Ames,IA,50014.0
1375,3133 MAPLEWOOD RD,Ames,IA,50014.0
1376,317 HILLTOP RD,Ames,IA,50014.0
1377,2910 BAYBERRY RD,Ames,IA,50014.0
1378,4717 HEMINGWAY DR,Ames,IA,50014.0
1379,1601 WOODHAVEN CIR,Ames,IA,50010.0
1380,1925 HUNZIKER DR,Ames,IA,50010.0
1381,3016 HARRISON RD,Ames,IA,50010.0
1383,3832 BROOKDALE AVE,Ames,IA,50010.0
1384,1504 MARSTON AVE,Ames,IA,50010.0
1385,3913 BERKSHIRE AVE,Ames,IA,50010.0
1386,124 HARTFORD DR,Ames,IA,50014.0
1387,922 DUFF AVE,Ames,IA,50010.0
1388,2332 DONALD ST,Ames,IA,50014.0
1390,621 SHELLEY AVE,Ames,IA,50014.0
1391,1315 GLENDALE AVE,Ames,IA,50010.0
1392,1120 CARROLL AVE,Ames,IA,50010.0
1393,1912 WILSON AVE,Ames,IA,50010.0
1394,727 GARNET DR,Ames,IA,50010.0
1395,3405 EMERALD DR,Ames,IA,50010.0
1396,250 CAMPUS AVE 248,Ames,IA,50012.0
1397,430 ASH AVE,Ames,IA,50014.0
1398,1412 INDIANA AVE,Ames,IA,50014.0
1399,4112 HASTINGS AVE,Ames,IA,50010.0
1400,3915 QUEBEC ST,Ames,IA,50014.0
1401,2321 SUNDOWN DR,Ames,IA,50014.0
1402,1630 JOHNSON ST,Ames,IA,50010.0
1404,2966 MONROE DR,Ames,IA,50010.0
1405,419 LYNN AVE,Ames,IA,50014.0
1406,620 LYNN AVE,Ames,IA,50014.0
1407,1010 JARRETT CIR,Ames,IA,50014.0
1408,2129 STEVENSON DR,Ames,IA,50010.0
1409,3123 STORY ST,Ames,IA,50014.0
1410,2505 GREEN HILLS DR,Ames,IA,50014.0
1411,413 HAWTHORNE  AVE,Ames,IA,50014.0
1412,721 MEADOW PL,Ames,IA,50010.0
1413,3916 FLETCHER BLVD,Ames,IA,50010.0
1414,2905 ROXBORO DR,Ames,IA,50010.0
1416,234 SOUTH DAKOTA AVE 236,Ames,IA,50014.0
1417,1011 CURTISS AVE,Ames,IA,50010.0
1418,1007 VERMONT CT,Ames,IA,50014.0
1419,1509 JACKSON DR,Ames,IA,50010.0
1420,3815 QUEBEC ST,Ames,IA,50014.0
1421,807 HODGE AVE,Ames,IA,50010.0
1422,2402 SUNCREST DR,Ames,IA,50014.0
1423,1210 GARFIELD CIR,Ames,IA,50014.0
1424,516 OLIVER CIR,Ames,IA,50014.0
1425,1106 STAFFORD AVE,Ames,IA,50010.0
1426,210 S HAZEL AVE,Ames,IA,50010.0
1427,2427 WELBECK DR,Ames,IA,50010.0
1428,2638 CLEVELAND DR,Ames,IA,50010.0
1429,3004 NORTHWOOD DR,Ames,IA,50010.0
1430,1017 N 2ND ST,Ames,IA,50010.0
1431,1809 MAXWELL AVE,Ames,IA,50010.0
1432,3314 CLINTON CT,Ames,IA,50010.0
1433,1309 GARFIELD AVE,Ames,IA,50014.0
1434,824 WILSON AVE,Ames,IA,50010.0
1435,611 11TH ST,Ames,IA,50010.0
1436,115 E 13TH ST,Ames,IA,50010.0
1437,2324 KNAPP ST,Ames,IA,50014.0
1438,803 KELLOGG AVE,Ames,IA,50010.0
1439,3118 GREENWOOD RD,Ames,IA,50014.0
1440,3502 JEWEL DR,Ames,IA,50010.0
1441,2810 PINEHURST CIR,Ames,IA,50010.0
1442,4914 WALLER ST,Ames,IA,50014.0
1443,1415 STAFFORD AVE,Ames,IA,50010.0
1444,1802 CLARK AVE,Ames,IA,50010.0
1445,3603 WOODLAND ST,Ames,IA,50014.0
1447,2207 HAYES AVE,Ames,IA,50010.0
1448,3801 COLUMBINE AVE,Ames,IA,50010.0
1449,614 POE AVE,Ames,IA,50014.0
1450,3815 VALLEY VIEW RD,Ames,IA,50010.0
1451,5129 SCHUBERT ST,Ames,IA,50014.0
1452,3809 EISENHOWER AVE,Ames,IA,50010.0
1453,1220 TRUMAN PL,Ames,IA,50010.0
1454,3337 WESTON DR,Ames,IA,50010.0
1455,3808 HYDE AVE,Ames,IA,50010.0
1456,1312 CARROLL AVE,Ames,IA,50010.0
1457,2204 DUFF AVE,Ames,IA,50010.0
1458,223 E 6TH ST,Ames,IA,50010.0
1459,607 E 13TH ST,Ames,IA,50010.0
1460,5011 EMERSON DR,Ames,IA,50014.0
1461,618 13TH ST,Ames,IA,50010.0
1462,1111 BURNETT AVE,Ames,IA,50010.0
1463,2218 NORTHWESTERN AVE,Ames,IA,50010.0
1464,4004 TORONTO ST,Ames,IA,50014.0
1465,2216 FILLMORE AVE,Ames,IA,50010.0
1466,2723 HAMPTON ST,Ames,IA,50010.0
1467,421 HAYWARD AVE,Ames,IA,50014.0
1468,3332 FOXLEY DR,Ames,IA,50010.0
1469,1111 GARNER CIR,Ames,IA,50010.0
1470,2904 ROXBORO DR,Ames,IA,50010.0
1471,2103 CLARK AVE,Ames,IA,50010.0
1472,1320 GRAND AVE,Ames,IA,50010.0
1473,1002 POE AVE,Ames,IA,50014.0
1474,705 POE AVE,Ames,IA,50014.0
1475,1904 BEL AIR DR,Ames,IA,50010.0
1476,2825 BUCKINGHAM CT,Ames,IA,50010.0
1477,5025 KEATS ST,Ames,IA,50014.0
1478,604 CARROLL AVE,Ames,IA,50010.0
1479,2117 NORTHWESTERN AVE,Ames,IA,50010.0
1480,2838 BUCKINGHAM CT,Ames,IA,50010.0
1481,827 MILLER AVE,Ames,IA,50014.0
1482,3418 JEWEL DR,Ames,IA,50010.0
1483,546 MEADOW CT,Ames,IA,50010.0
1484,4811 IDAHO CIR,Ames,IA,50014.0
1485,836 BROOKRIDGE AVE,Ames,IA,50010.0
1486,1506 GOLDEN ASPEN DR,Ames,IA,50010.0
1487,3834 WELBECK DR,Ames,IA,50010.0
1488,3320 KINGMAN RD,Ames,IA,50014.0
1489,2404 WESTWIND DR,Ames,IA,50010.0
1490,2918 EISENHOWER AVE,Ames,IA,50010.0
1491,5000 EMERSON DR,Ames,IA,50014.0
1492,2749 CLEVELAND DR,Ames,IA,50010.0
1493,2720 THOMPSON DR,Ames,IA,50010.0
1494,1804 MAXWELL AVE,Ames,IA,50010.0
1495,1909 BEL AIR CIR,Ames,IA,50010.0
1496,3820 MARIGOLD DR,Ames,IA,50014.0
1497,3315 POLARIS DR,Ames,IA,50010.0
1498,3109 ALMOND RD,Ames,IA,50014.0
1499,1320 NEBRASKA AVE,Ames,IA,50014.0
1500,905 NORTH DAKOTA AVE,Ames,IA,50014.0
1501,611 CHELSEA CT,Ames,IA,50014.0
1502,3806 BERKSHIRE AVE,Ames,IA,50010.0
1503,917 TOP O HOLLOW RD,Ames,IA,50010.0
1504,5136 EMERSON DR,Ames,IA,50014.0
1505,925 YUMA AVE,Ames,IA,50014.0
1506,3009 TURQUOISE CIR,Ames,IA,50010.0
1507,4623 TWAIN ST,Ames,IA,50014.0
1508,5402 SCHUBERT ST,Ames,IA,50014.0
1509,3838 MARIGOLD DR,Ames,IA,50014.0
1510,3105 ROXBORO DR,Ames,IA,50010.0
1511,614 16TH ST,Ames,IA,50010.0
1512,1812 CLARK AVE,Ames,IA,50010.0
1513,3130 SEDWICK ST,Ames,IA,50010.0
1514,5325 KANSAS DR,Ames,IA,50014.0
1515,2907 DUFF AVE,Ames,IA,50010.0
1516,2037 COUNTRY CLUB BLVD,Ames,IA,50014.0
1517,2407 WESTWIND DR,Ames,IA,50010.0
1518,5020 EMERSON DR,Ames,IA,50014.0
1519,4024 ARKANSAS DR,Ames,IA,50014.0
1520,1706 CLARK AVE,Ames,IA,50010.0
1521,1322 ILLINOIS AVE,Ames,IA,50014.0
1522,3823 VIOLA MAE AVE,Ames,IA,50010.0
1523,2514 DALTON ST,Ames,IA,50010.0
1524,1117 JOHNSON ST,Ames,IA,50010.0
1525,715 GARNET DR,Ames,IA,50010.0
1526,308 N RUSSELL AVE,Ames,IA,50010.0
1527,2000 POLK DR,Ames,IA,50010.0
1528,630 RIVER OAK DR,Ames,IA,50010.0
1529,4023 MARIGOLD DR,Ames,IA,50014.0
1530,3218 OAKLAND ST,Ames,IA,50014.0
1531,736 GARNET DR,Ames,IA,50010.0
1532,2415 LAKESIDE DR,Ames,IA,50010.0
1533,4929 UTAH DR,Ames,IA,50014.0
1534,2523 DALTON ST,Ames,IA,50010.0
1535,1313 GARFIELD AVE,Ames,IA,50014.0
1536,609 SHELLEY AVE,Ames,IA,50014.0
1537,922 ARIZONA AVE,Ames,IA,50014.0
1538,2030 MELROSE AVE,Ames,IA,50010.0
1539,2731 CAMBRIDGE DR,Ames,IA,50010.0
1541,210 S RIVERSIDE DR,Ames,IA,50010.0
1542,2402 MELROSE AVE,Ames,IA,50010.0
1543,1411 20TH ST,Ames,IA,50010.0
1544,909 TENNYSON AVE,Ames,IA,50014.0
1545,409 S FRANKLIN AVE,Ames,IA,50014.0
1546,2014 KILDEE ST,Ames,IA,50014.0
1547,619 CRYSTAL ST,Ames,IA,50010.0
1548,3322 SOUTHDALE DR,Ames,IA,50010.0
1549,2409 SUNCREST DR,Ames,IA,50014.0
1550,1430 SUMMIT AVE,Ames,IA,50010.0
1551,507 HAYWARD AVE,Ames,IA,50014.0
1552,913 DELAWARE AVE,Ames,IA,50014.0
1553,1023 GRAND AVE,Ames,IA,50010.0
