,Street,City,State,Zip
0,436 HAYWARD AVE,Ames,IA,50014.0
1,3416 WEST ST,Ames,IA,50014.0
3,1524 DOUGLAS AVE,Ames,IA,50010.0
4,2304 FILLMORE AVE,Ames,IA,50010.0
5,4003 MARIGOLD DR,Ames,IA,50014.0
6,212 10TH ST 210,Ames,IA,50010.0
7,2431 LAKESIDE DR,Ames,IA,50010.0
8,602 KEN MARIL RD,Ames,IA,50010.0
9,3901 MARIGOLD DR,Ames,IA,50014.0
11,700 KEN MARIL RD,Ames,IA,50010.0
12,1102 CARROLL AVE,Ames,IA,50010.0
13,2519 KELLOGG AVE,Ames,IA,50010.0
14,812 TENNYSON AVE,Ames,IA,50014.0
15,5220 MARYLAND ST,Ames,IA,50014.0
16,319 HARTFORD DR,Ames,IA,50014.0
17,2910 WOOD ST,Ames,IA,50014.0
18,2102 PRAIRIE VIEW EAST,Ames,IA,50010.0
19,424 TEAGARDEN DR,Ames,IA,50010.0
20,1514 CALIFORNIA AVE,Ames,IA,50014.0
21,1216 CARROLL AVE,Ames,IA,50010.0
22,626 MEADOW PL,Ames,IA,50010.0
23,829 DOUGLAS AVE,Ames,IA,50010.0
24,1342 BARKLEY CT,Ames,IA,50010.0
25,4205 CRESTMOOR AVE,Ames,IA,50010.0
26,3028 COTTONTAIL LN,Ames,IA,50014.0
27,2711 HAMPTON ST,Ames,IA,50010.0
28,1636 JOHNSON ST,Ames,IA,50010.0
29,3331 WESTON DR,Ames,IA,50010.0
30,926 DUFF AVE,Ames,IA,50010.0
31,4302 WELBECK DR,Ames,IA,50010.0
32,4103 CRESTMOOR AVE,Ames,IA,50010.0
33,816 BROOKRIDGE AVE,Ames,IA,50010.0
34,1522 MAXWELL AVE,Ames,IA,50010.0
35,3005 CEDAR LN,Ames,IA,50014.0
36,5408 CERVANTES DR,Ames,IA,50014.0
37,118 E 11TH ST,Ames,IA,50010.0
39,3323 BUCHANAN CT,Ames,IA,50010.0
40,1115 28TH ST,Ames,IA,50010.0
42,3013 ALMOND RD,Ames,IA,50014.0
43,302 OPAL CIR,Ames,IA,50010.0
45,1903 MEADOWLANE AVE,Ames,IA,50010.0
46,4015 TORONTO ST,Ames,IA,50014.0
48,1412 KELLOGG AVE,Ames,IA,50010.0
49,3335 PRESTON CIR,Ames,IA,50010.0
50,3908 WELBECK DR,Ames,IA,50010.0
51,3218 WEST ST,Ames,IA,50014.0
52,1010 GRAND AVE,Ames,IA,50010.0
53,1203 BURNETT AVE,Ames,IA,50010.0
54,426 HAYWARD AVE 428,Ames,IA,50014.0
55,2807 BRISTOL DR,Ames,IA,50010.0
56,3414 EISENHOWER AVE,Ames,IA,50010.0
57,4824 WALLER ST,Ames,IA,50014.0
58,3012 OAKLAND ST 3014,Ames,IA,50014.0
59,1306 SCOTT CIR,Ames,IA,50014.0
60,3207 STOCKBURY ST,Ames,IA,50010.0
61,808 NARLAND DR,Ames,IA,50010.0
62,2900 RIDGETOP RD,Ames,IA,50014.0
63,2614 SOUTHRIDGE CIR,Ames,IA,50014.0
64,301 S RUSSELL AVE,Ames,IA,50010.0
65,310 WESTWOOD DR,Ames,IA,50014.0
66,2805 BRISTOL DR,Ames,IA,50010.0
67,3317 PRESTON CIR,Ames,IA,50010.0
68,5203 SCHUBERT ST,Ames,IA,50014.0
69,3320 FOXLEY DR,Ames,IA,50010.0
70,410 THACKERAY AVE,Ames,IA,50014.0
72,2320 KNAPP ST,Ames,IA,50014.0
73,3142 BAYBERRY RD,Ames,IA,50014.0
74,3917 WELBECK DR,Ames,IA,50010.0
75,2841 ASPEN RD,Ames,IA,50010.0
76,5325 CERVANTES DR,Ames,IA,50014.0
77,433 ASPEN RIDGE RD,Ames,IA,50010.0
78,4316 HARRISON CIR,Ames,IA,50010.0
79,4210 WELBECK DR,Ames,IA,50010.0
81,704 BURNETT AVE,Ames,IA,50010.0
82,1314 BARKLEY CT,Ames,IA,50010.0
83,3007 DIAMOND ST,Ames,IA,50010.0
84,1523 GLENDALE AVE,Ames,IA,50010.0
