,Unnamed: 0,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageArea,MiscVal,MoSold,YrSold,bathrm_cnt,patioSF,Prop_Addr,Full_Adr,gcode,lat,long,dist,zip,tract,income,FinBsmtSF,TotalSF
0,0,909176150,856,126000,30,RL,,7890,Pave,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,618.0,856.0,856,0,2,TA,4,1,399.0,0,3,2010,2.0,166,436 HAYWARD AVE,"436 HAYWARD AVE, Ames, IA","436, Hayward Avenue, Campustown, Ames, Story County, Iowa, 50014, United States",42.01856448979592,-93.65161918367347,0.9988964828921082,50014.0,,,238.0,1712.0
1,1,905476230,1049,139500,120,RL,42.0,4235,Pave,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,104.0,1049.0,1049,0,2,Gd,5,0,266.0,0,2,2009,3.0,105,3416 WEST ST,"3416 WEST ST, Ames, IA","3416, West Street, Union Drive, Ames, Story County, Iowa, 50014, United States",42.02485531593042,-93.66367099341755,1.4335371457881765,50014.0,19169000700.0,21333.0,945.0,2098.0
2,2,535377150,1039,114000,70,RL,80.0,8146,Pave,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,405.0,405.0,717,322,2,TA,6,0,281.0,0,5,2009,1.0,279,1524 DOUGLAS AVE,"1524 DOUGLAS AVE, Ames, IA","1524, Douglas Avenue, Broadmoor, Ames, Story County, Iowa, 50010, United States",42.03739146938776,-93.61220695918368,3.0726887424860583,50010.0,19169000200.0,52375.0,0.0,1444.0
3,3,534177230,1665,227000,60,RL,70.0,8400,Pave,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,167.0,810.0,810,855,3,Gd,6,0,528.0,0,11,2009,3.5,45,2304 FILLMORE AVE,"2304 FILLMORE AVE, Ames, IA","2304, Fillmore Avenue, Allenview, Ames, Story County, Iowa, 50010, United States",42.04455376067282,-93.63181831620726,2.326977641290584,50010.0,19169000400.0,61991.0,643.0,2475.0
4,4,908128060,1922,198500,85,RL,64.0,7301,Pave,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,0.0,0.0,495,1427,4,Gd,7,1,672.0,0,7,2009,3.0,177,4003 MARIGOLD DR,"4003 MARIGOLD DR, Ames, IA","4003, Marigold Drive, South Forks, Ames, Story County, Iowa, 50014, United States",42.01900877172312,-93.67298690279816,2.3498759144475496,50014.0,19169001301.0,33311.0,0.0,1922.0
5,5,902135020,936,93000,20,RM,60.0,6000,Pave,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,936.0,936.0,936,0,2,TA,4,0,576.0,0,2,2009,1.0,144,212 10TH ST 210,"212 10TH ST 210, Ames, IA","212, 10th Street, Ames, Story County, Iowa, 50010, United States",42.031162,-93.61256091846626,2.8477069182326726,50010.0,19169000900.0,37028.0,0.0,1872.0
6,6,528228540,1246,187687,20,RL,53.0,3710,Pave,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,1146.0,1146.0,1246,0,2,Gd,5,1,428.0,0,3,2008,2.0,124,2431 LAKESIDE DR,"2431 LAKESIDE DR, Ames, IA","2431, Lakeside Drive, Bloomington Heights West Townhomes, Ames, Story County, Iowa, 50010, United States",42.06328412279648,-93.6415688852472,4.089580557380315,50010.0,19169000100.0,82985.0,0.0,2392.0
7,7,923426010,889,137500,20,RL,74.0,12395,Pave,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,217.0,864.0,889,0,3,TA,6,0,484.0,0,4,2008,1.0,0,602 KEN MARIL RD,"602 KEN MARIL RD, Ames, IA","602, Ken Maril Road, Ames, Story County, Iowa, 50010, United States",41.98649573595674,-93.6036188257733,5.706071862524853,50010.0,19169001302.0,59234.0,647.0,1753.0
8,8,908186050,1072,140000,180,RM,35.0,3675,Pave,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,80.0,547.0,1072,0,2,Gd,5,0,525.0,0,5,2007,2.0,44,3901 MARIGOLD DR,"3901 MARIGOLD DR, Ames, IA","3901, Marigold Drive, South Forks, Ames, Story County, Iowa, 50014, United States",42.01896635242211,-93.66946211497068,2.0832562605703684,50014.0,19169001301.0,33311.0,467.0,1619.0
9,9,923426070,1274,136000,60,RL,63.0,10475,Pave,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,166.0,624.0,624,650,3,TA,6,0,576.0,0,3,2010,1.5,22,700 KEN MARIL RD,"700 KEN MARIL RD, Ames, IA","700, Ken Maril Road, Ames, Story County, Iowa, 50010, United States",41.98649987838884,-93.60213991860324,5.782431354399296,50010.0,19169001302.0,59234.0,458.0,1898.0
10,10,902204080,861,80000,30,RM,62.0,7404,Pave,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,861.0,861.0,861,0,2,TA,5,0,288.0,0,11,2009,1.0,128,1102 CARROLL AVE,"1102 CARROLL AVE, Ames, IA","1102, Carroll Avenue, Sunrise, Ames, Story County, Iowa, 50010, United States",42.03216732653061,-93.6087965510204,3.1739245120375505,50010.0,19169000900.0,37028.0,0.0,1722.0
11,11,535105100,1394,159000,20,RL,,9500,Pave,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,785.0,1394.0,1394,0,3,TA,6,2,514.0,0,7,2009,2.5,261,2519 KELLOGG AVE,"2519 KELLOGG AVE, Ames, IA","2519, Kellogg Avenue, Broadmoor, Ames, Story County, Iowa, 50010, United States",42.04690161396658,-93.61572103026556,3.3933025547429767,50010.0,19169000200.0,52375.0,609.0,2788.0
12,12,907405020,1536,214000,20,RL,70.0,9135,Pave,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,726.0,1536.0,1536,0,3,Gd,7,0,532.0,0,12,2008,3.0,266,812 TENNYSON AVE,"812 TENNYSON AVE, Ames, IA","812, Tennyson Avenue, Longview, Ames, Story County, Iowa, 50014, United States",42.01590809090909,-93.6876522121212,3.60614771324686,50014.0,19169001301.0,33311.0,810.0,3072.0
13,13,531382110,1680,163000,60,RL,50.0,8480,Pave,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,284.0,886.0,886,794,3,Gd,7,0,474.0,0,10,2008,3.0,240,5220 MARYLAND ST,"5220 MARYLAND ST, Ames, IA","5220, Maryland Street, Brookview Place, Ontario, Ames, Story County, Iowa, 50014, United States",42.03586941394644,-93.68920687419867,3.672858500577566,50014.0,19169000600.0,60833.0,602.0,2566.0
14,14,906380120,1274,203000,20,RL,68.0,8814,Pave,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,349.0,1274.0,1274,0,3,Gd,6,0,508.0,0,1,2007,3.0,362,319 HARTFORD DR,"319 HARTFORD DR, Ames, IA","319, Hartford Drive, Sunset Ridge, Ames, Story County, Iowa, 50014, United States",42.02481975297594,-93.68911130789051,3.527025188545478,50014.0,19169000600.0,60833.0,925.0,2548.0
15,15,909101060,864,67000,30,RL,45.0,8248,Pave,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,823.0,864.0,864,0,2,TA,5,0,0.0,0,9,2008,2.0,100,2910 WOOD ST,"2910 WOOD ST, Ames, IA","2910, Wood Street, Union Drive, Ames, Story County, Iowa, 50014, United States",42.02208247765018,-93.65692684113984,1.0030261171201549,50014.0,19169001100.0,20878.0,41.0,1728.0
16,16,534152050,1610,205000,20,RL,,10603,Pave,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,410.0,1610.0,1610,0,3,Gd,6,2,480.0,0,2,2010,3.0,236,2102 PRAIRIE VIEW EAST,"2102 PRAIRIE VIEW EAST, Ames, IA","2102, Prairie View East, Prairie View, Ames, Story County, Iowa, 50010, United States",42.04331646337044,-93.63727919577092,1.999077305028813,50010.0,19169000400.0,61991.0,1200.0,3220.0
17,17,923252075,1091,131250,80,RL,62.0,7706,Pave,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,0.0,384.0,1091,0,2,TA,5,0,429.0,700,8,2009,1.5,280,424 TEAGARDEN DR,"424 TEAGARDEN DR, Ames, IA","424, Teagarden Drive, Ames, Story County, Iowa, 50010, United States",41.98752773737374,-93.6061805959596,5.485397119008888,50010.0,19169001302.0,59234.0,384.0,1475.0
18,18,531376060,1486,181000,20,RL,65.0,7441,Pave,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,1461.0,1461.0,1486,0,3,Gd,7,0,566.0,0,6,2007,2.0,32,1514 CALIFORNIA AVE,"1514 CALIFORNIA AVE, Ames, IA","1514, California Avenue, Brookview Place, Ames, Story County, Iowa, 50014, United States",42.03755692029672,-93.691149759933,3.881515429162111,50014.0,19169000600.0,60833.0,0.0,2947.0
19,19,902201120,789,115000,20,RM,50.0,6000,Pave,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,516.0,789.0,789,0,2,TA,5,0,250.0,0,4,2008,1.0,0,1216 CARROLL AVE,"1216 CARROLL AVE, Ames, IA","1216, Carroll Avenue, Sunrise, Ames, Story County, Iowa, 50010, United States",42.03351832653061,-93.6088355510204,3.2029481268696163,50010.0,19169000900.0,37028.0,273.0,1578.0
20,20,923228080,1092,98000,160,RM,21.0,1477,Pave,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,188.0,546.0,546,546,3,TA,6,0,0.0,0,3,2008,2.5,187,626 MEADOW PL,"626 MEADOW PL, Ames, IA","626, Meadow Place, Ames, Story County, Iowa, 50010, United States",41.99228574317098,-93.60276791626312,5.264625003714568,50010.0,19169001302.0,59234.0,358.0,1638.0
