,tract,PID,income
0,19169001100.0,909176150,20878
1,19169000700.0,905476230,21333
3,19169000200.0,535377150,52375
4,19169000400.0,534177230,61991
5,19169001302.0,908128060,59234
6,19169000900.0,902135020,37028
7,19169000100.0,528228540,82985
8,19169001302.0,923426010,59234
9,19169001302.0,908186050,59234
10,19169000100.0,528186170,82985
11,19169001302.0,923426070,59234
12,19169000900.0,902204080,37028
13,19169000200.0,535105100,52375
14,19169001302.0,907405020,59234
15,19169000600.0,531382110,60833
16,19169000600.0,906380120,60833
17,19169001100.0,909101060,20878
18,19169000400.0,534152050,61991
19,19169001302.0,923252075,59234
20,19169000600.0,531376060,60833
21,19169000900.0,902201120,37028
22,19169001302.0,923228080,59234
23,19169000900.0,902326030,37028
24,19169000300.0,527451330,60500
25,19169000100.0,528218100,82985
26,19169001302.0,916386140,59234
27,19169000100.0,533221090,82985
28,19169000300.0,534128010,60500
29,19169000100.0,528106110,82985
30,19169000900.0,902206260,37028
31,19169000100.0,528222090,82985
32,19169000100.0,528218150,82985
33,19169000900.0,903400180,37028
34,19169000200.0,535453210,52375
35,19169001302.0,916386010,59234
36,19169001302.0,907181090,59234
37,19169000900.0,902206020,37028
39,19169000300.0,527327050,60500
40,19169000300.0,527455250,60500
42,19169000100.0,528326110,82985
43,19169001302.0,914452190,59234
45,19169000200.0,535425060,52375
46,19169000600.0,532376250,60833
48,19169000200.0,535379110,52375
49,19169000100.0,528118010,82985
50,19169000100.0,528235160,82985
51,19169000700.0,905478030,21333
52,19169000900.0,902106130,37028
53,19169000900.0,902102080,37028
54,19169001100.0,909176170,20878
55,19169000100.0,533206070,82985
56,19169000300.0,527302020,60500
57,19169001302.0,907414060,59234
58,19169000700.0,904301060,21333
59,19169000600.0,532479020,60833
60,19169000100.0,528110070,82985
61,19169000400.0,534429130,61991
62,19169000100.0,528365060,82985
63,19169000100.0,533135020,82985
64,19169001000.0,910203100,26009
65,19169000700.0,905451390,21333
66,19169000100.0,533213010,82985
67,19169000100.0,528118030,82985
68,19169001302.0,907200340,59234
69,19169000100.0,528164060,82985
70,19169001302.0,907202010,59234
71,19169000100.0,528186180,82985
72,19169001100.0,909250060,20878
73,19169000100.0,528315060,82985
74,19169000100.0,528231020,82985
75,19169000100.0,528456230,82985
76,19169001302.0,907180120,59234
77,19169001000.0,911370410,26009
78,19169000100.0,527108090,82985
79,19169000100.0,528222050,82985
80,19169000100.0,528429110,82985
81,19169000900.0,902328100,37028
82,19169000300.0,527451410,60500
83,19169001302.0,914476130,59234
84,19169000200.0,535453020,52375
85,19169000200.0,535379100,52375
86,19169000600.0,905108190,60833
87,19169000600.0,905201110,60833
88,19169000900.0,903227090,37028
89,19169000600.0,905107300,60833
90,19169000900.0,903401070,37028
91,19169000900.0,903230100,37028
92,19169000100.0,527105010,82985
93,19169000100.0,528480020,82985
94,19169000300.0,527402130,60500
95,19169001100.0,909251080,20878
96,19169001302.0,908201120,59234
97,19169000100.0,533221080,82985
98,19169000200.0,535178100,52375
99,19169000200.0,535457050,52375
100,19169001302.0,923226270,59234
101,19169000200.0,535105090,52375
102,19169000100.0,533253070,82985
103,19169001302.0,907280170,59234
104,19169001302.0,914476450,59234
105,19169000200.0,535327200,52375
106,19169000100.0,528441090,82985
107,19169000600.0,906426195,60833
108,19169000400.0,534275170,61991
109,19169001302.0,923226180,59234
110,19169001302.0,923226320,59234
111,19169000100.0,528118050,82985
112,19169000700.0,904300150,21333
113,19169000100.0,533236050,82985
114,19169000300.0,527354160,60500
115,19169000100.0,528435040,82985
116,19169000300.0,534129230,60500
117,19169000200.0,535325350,52375
118,19169000900.0,902408080,37028
119,19169001302.0,916455050,59234
120,19169001100.0,909276200,20878
121,19169000400.0,534277060,61991
122,19169000600.0,905107280,60833
123,19169001302.0,923204050,59234
124,19169000600.0,531376050,60833
125,19169001000.0,903454010,26009
126,19169000600.0,906412010,60833
127,19169000200.0,535301060,52375
128,19169000400.0,534453080,61991
129,19169000200.0,535403210,52375
130,19169000600.0,531382120,60833
131,19169001302.0,916455120,59234
132,19169000700.0,905475510,21333
133,19169001302.0,916326090,59234
134,19169001100.0,909101140,20878
135,19169001302.0,907260050,59234
136,19169001302.0,907131090,59234
137,19169000900.0,903206160,37028
138,19169000100.0,528222020,82985
139,19169000200.0,526352090,52375
140,19169000300.0,534201280,60500
141,19169001302.0,908102330,59234
142,19169000600.0,906385010,60833
143,19169000400.0,534276230,61991
144,19169000600.0,906420020,60833
145,19169000300.0,527404120,60500
146,19169001302.0,907192010,59234
147,19169000100.0,527131030,82985
148,19169000300.0,527452290,60500
149,19169001302.0,907250030,59234
150,19169001100.0,909251040,20878
151,19169000200.0,535377100,52375
152,19169000100.0,528174050,82985
153,19169000100.0,533128090,82985
154,19169000100.0,533250110,82985
155,19169001302.0,908186040,59234
156,19169000900.0,903231050,37028
157,19169001302.0,908152110,59234
158,19169000200.0,535476110,52375
159,19169000100.0,533250050,82985
160,19169000200.0,535325340,52375
161,19169001100.0,909475050,20878
162,19169001302.0,907196020,59234
163,19169000100.0,533130160,82985
164,19169000200.0,535102010,52375
165,19169000600.0,531475220,60833
166,19169000300.0,527325070,60500
167,19169000900.0,903226160,37028
168,19169000900.0,902134100,37028
169,19169000900.0,902111010,37028
170,19169000200.0,535381040,52375
171,19169001000.0,910202060,26009
172,19169000200.0,535477180,52375
173,19169000100.0,528429120,82985
174,19169001302.0,908127050,59234
175,19169000100.0,528439010,82985
176,19169000600.0,906223110,60833
177,19169000100.0,528358010,82985
178,19169000600.0,532378160,60833
179,19169000600.0,531450040,60833
180,19169000300.0,527326040,60500
181,19169000900.0,903204095,37028
182,19169000100.0,527182170,82985
183,19169000600.0,905105040,60833
184,19169000100.0,528477020,82985
185,19169000600.0,905202210,60833
186,19169000900.0,903425190,37028
187,19169000200.0,535150210,52375
188,19169000200.0,535453160,52375
189,19169000200.0,535353130,52375
190,19169000200.0,535456070,52375
191,19169001302.0,908250090,59234
192,19169000300.0,527452070,60500
193,19169000900.0,902325100,37028
194,19169001302.0,921126030,59234
195,19169000700.0,905401060,21333
